GAME_DATE,HOME_TEAM_ID,HOME_TEAM_NAME,_2pointer_PCT_HOME,_3pointer_PCT_HOME,FreeThrow_PCT_HOME,Assists_HOME,Rebounds_HOME,VISITOR_TEAM_ID,VISITOR_TEAM_NAME,_2pointer_PCT_AWAY,_3pointer_PCT_AWAY,FreeThrow_PCT_AWAY,Assists_AWAY,Rebounds_AWAY,HOME_TEAM_WINS
2004-04-06,1610612739,Cavaliers,0.398,0.333,0.789,20.0,48.0,1610612761,Raptors,0.41,0.3,0.765,18.0,45.0,0
2004-04-06,1610612742,Mavericks,0.552,0.357,1.0,30.0,43.0,1610612760,Thunder,0.495,0.379,0.625,30.0,35.0,1
2004-04-06,1610612744,Warriors,0.529,0.333,0.714,24.0,33.0,1610612745,Rockets,0.459,0.25,0.952,11.0,34.0,1
2004-04-06,1610612758,Kings,0.542,0.471,0.95,24.0,35.0,1610612740,Pelicans,0.419,0.348,0.913,13.0,36.0,1
2004-04-06,1610612751,Nets,0.494,0.429,0.692,29.0,34.0,1610612749,Bucks,0.507,0.375,0.955,21.0,37.0,0
2004-04-05,1610612762,Jazz,0.372,0.2,0.865,17.0,56.0,1610612763,Grizzlies,0.446,0.4,0.739,23.0,29.0,1
2004-04-04,1610612746,Clippers,0.453,0.091,0.846,18.0,25.0,1610612762,Jazz,0.487,0.5,0.656,27.0,40.0,0
2004-04-04,1610612747,Lakers,0.427,0.167,0.821,17.0,43.0,1610612759,Spurs,0.432,0.467,0.692,24.0,37.0,0
2004-04-04,1610612750,Timberwolves,0.395,0.538,0.792,17.0,54.0,1610612763,Grizzlies,0.387,0.5,0.63,20.0,40.0,1
2004-04-04,1610612764,Wizards,0.556,0.5,0.71,25.0,39.0,1610612738,Celtics,0.532,0.381,0.706,25.0,25.0,1
2004-04-04,1610612765,Pistons,0.386,0.364,0.7,18.0,40.0,1610612754,Pacers,0.324,0.176,0.6,12.0,41.0,1
2004-04-04,1610612745,Rockets,0.475,0.412,0.733,27.0,39.0,1610612758,Kings,0.5,0.583,0.8,26.0,33.0,0
