,HOME_TEAM_ID,HOME_TEAM_NAME,2pointer_PCT_HOME,3pointer_PCT_HOME,FreeThrow_PCT_HOME,Assists_HOME,Rebounds_HOME,VISITOR_TEAM_ID,VISITOR_TEAM_NAME,2pointer_PCT_AWAY,3pointer_PCT_AWAY,FreeThrow_PCT_AWAY,Assists_AWAY,Rebounds_AWAY,HOME_TEAM_WINS
21633,1610612761,Raptors,0.36,0.217,0.727,15.0,47.0,1610612749,Bucks,0.447,0.391,0.8,22.0,43.0,0
21634,1610612759,Spurs,0.539,0.526,0.76,16.0,42.0,1610612763,Grizzlies,0.392,0.35,0.765,17.0,35.0,1
21635,1610612746,Clippers,0.444,0.3329999999999999,0.882,20.0,40.0,1610612762,Jazz,0.481,0.421,0.684,21.0,34.0,0
21636,1610612753,Magic,0.483,0.52,0.941,27.0,51.0,1610612765,Pistons,0.387,0.306,0.5710000000000001,20.0,53.0,1
21637,1610612739,Cavaliers,0.368,0.27,0.708,20.0,42.0,1610612761,Raptors,0.465,0.308,0.625,20.0,48.0,0
21638,1610612738,Celtics,0.456,0.3329999999999999,0.6920000000000001,31.0,45.0,1610612749,Bucks,0.44,0.261,0.8240000000000001,26.0,43.0,1
21639,1610612752,Knicks,0.494,0.409,0.7190000000000001,17.0,43.0,1610612755,76ers,0.495,0.304,0.7,21.0,38.0,1
21640,1610612748,Heat,0.523,0.3329999999999999,0.833,19.0,51.0,1610612764,Wizards,0.483,0.2689999999999999,0.7859999999999999,18.0,34.0,1
21641,1610612741,Bulls,0.4320000000000001,0.467,0.762,28.0,62.0,1610612751,Nets,0.326,0.091,0.778,17.0,48.0,1
21642,1610612763,Grizzlies,0.3929999999999999,0.32,0.8640000000000001,18.0,48.0,1610612742,Mavericks,0.44,0.265,0.8059999999999999,21.0,37.0,0
21643,1610612745,Rockets,0.4639999999999999,0.3389999999999999,0.636,37.0,47.0,1610612750,Timberwolves,0.527,0.478,0.733,37.0,49.0,1
21644,1610612760,Thunder,0.426,0.32,0.647,20.0,51.0,1610612743,Nuggets,0.4589999999999999,0.28,0.813,22.0,43.0,0
21645,1610612754,Pacers,0.476,0.417,0.8420000000000001,21.0,41.0,1610612737,Hawks,0.417,0.379,0.789,19.0,37.0,1
21646,1610612762,Jazz,0.506,0.385,0.65,24.0,36.0,1610612759,Spurs,0.4529999999999999,0.381,0.846,16.0,42.0,1
21647,1610612746,Clippers,0.518,0.357,0.76,29.0,43.0,1610612758,Kings,0.494,0.455,0.7140000000000001,27.0,37.0,1
21648,1610612744,Warriors,0.456,0.3329999999999999,0.682,26.0,54.0,1610612747,Lakers,0.441,0.235,0.5710000000000001,23.0,40.0,1
21649,1610612757,Trail Blazers,0.482,0.433,0.385,22.0,53.0,1610612740,Pelicans,0.444,0.3329999999999999,0.7140000000000001,20.0,42.0,0
21650,1610612737,Hawks,0.519,0.259,0.778,30.0,50.0,1610612766,Hornets,0.33,0.13,0.789,16.0,40.0,1
21651,1610612750,Timberwolves,0.442,0.25,0.68,24.0,35.0,1610612760,Thunder,0.43,0.318,0.76,22.0,54.0,0
21652,1610612742,Mavericks,0.3979999999999999,0.3,0.818,24.0,42.0,1610612743,Nuggets,0.488,0.429,0.643,31.0,53.0,0
21653,1610612747,Lakers,0.477,0.364,0.696,24.0,47.0,1610612740,Pelicans,0.4679999999999999,0.318,0.75,29.0,39.0,1
21654,1610612758,Kings,0.518,0.474,0.7909999999999999,28.0,55.0,1610612756,Suns,0.376,0.267,0.583,19.0,48.0,1
21655,1610612755,76ers,0.467,0.3939999999999999,0.903,20.0,33.0,1610612754,Pacers,0.5760000000000001,0.313,0.81,30.0,44.0,0
21656,1610612738,Celtics,0.451,0.368,0.857,31.0,51.0,1610612751,Nets,0.36,0.258,0.897,18.0,49.0,1
21657,1610612748,Heat,0.4629999999999999,0.364,0.706,28.0,46.0,1610612739,Cavaliers,0.494,0.4,0.8640000000000001,19.0,47.0,1
21658,1610612741,Bulls,0.539,0.462,0.875,33.0,54.0,1610612753,Magic,0.345,0.185,0.75,18.0,37.0,1
21659,1610612749,Bucks,0.449,0.593,0.6,28.0,46.0,1610612766,Hornets,0.407,0.278,0.615,21.0,39.0,1
21660,1610612765,Pistons,0.457,0.385,1.0,22.0,36.0,1610612764,Wizards,0.506,0.368,0.875,27.0,48.0,0
21661,1610612757,Trail Blazers,0.416,0.444,0.867,18.0,42.0,1610612759,Spurs,0.4579999999999999,0.381,0.7,17.0,47.0,1
21662,1610612746,Clippers,0.505,0.385,0.821,29.0,49.0,1610612745,Rockets,0.3929999999999999,0.225,0.778,23.0,41.0,1
21663,1610612744,Warriors,0.488,0.36,0.706,25.0,42.0,1610612762,Jazz,0.446,0.371,0.667,29.0,49.0,0
21664,1610612752,Knicks,0.451,0.321,0.933,27.0,36.0,1610612761,Raptors,0.519,0.3229999999999999,0.87,20.0,41.0,0
21665,1610612737,Hawks,0.4679999999999999,0.29,0.784,31.0,45.0,1610612739,Cavaliers,0.4589999999999999,0.413,0.8,28.0,53.0,1
21666,1610612743,Nuggets,0.476,0.324,0.933,22.0,42.0,1610612760,Thunder,0.417,0.24,0.909,19.0,54.0,0
21667,1610612756,Suns,0.55,0.421,0.875,26.0,43.0,1610612742,Mavericks,0.423,0.356,0.684,23.0,44.0,1
21668,1610612758,Kings,0.5,0.29,0.833,26.0,38.0,1610612745,Rockets,0.563,0.419,0.871,26.0,41.0,0
21669,1610612763,Grizzlies,0.48,0.429,0.6920000000000001,23.0,30.0,1610612765,Pistons,0.476,0.5,0.688,21.0,46.0,0
21670,1610612747,Lakers,0.488,0.37,0.8,26.0,40.0,1610612750,Timberwolves,0.5,0.2,0.8390000000000001,27.0,41.0,1
21671,1610612751,Nets,0.424,0.3229999999999999,0.792,24.0,44.0,1610612741,Bulls,0.444,0.4579999999999999,0.882,14.0,52.0,1
21672,1610612766,Hornets,0.452,0.321,0.906,22.0,42.0,1610612738,Celtics,0.517,0.436,0.8240000000000001,35.0,43.0,0
21673,1610612753,Magic,0.488,0.467,0.727,29.0,33.0,1610612754,Pacers,0.593,0.5,0.737,35.0,45.0,0
21674,1610612755,76ers,0.351,0.258,0.87,23.0,47.0,1610612749,Bucks,0.4429999999999999,0.222,0.7,18.0,43.0,0
21675,1610612764,Wizards,0.481,0.364,0.773,21.0,44.0,1610612748,Heat,0.4629999999999999,0.389,0.6940000000000001,23.0,36.0,0
21676,1610612759,Spurs,0.425,0.364,0.7859999999999999,20.0,40.0,1610612746,Clippers,0.5,0.273,0.5710000000000001,21.0,45.0,0
21677,1610612757,Trail Blazers,0.407,0.433,0.875,15.0,47.0,1610612762,Jazz,0.397,0.316,0.75,19.0,47.0,1
21678,1610612744,Warriors,0.51,0.303,0.938,37.0,53.0,1610612740,Pelicans,0.488,0.238,0.632,24.0,34.0,1
21679,1610612739,Cavaliers,0.481,0.25,0.765,23.0,38.0,1610612737,Hawks,0.506,0.4320000000000001,1.0,39.0,42.0,0
21680,1610612761,Raptors,0.412,0.45,0.708,14.0,44.0,1610612748,Heat,0.3979999999999999,0.348,0.69,16.0,44.0,1
21681,1610612763,Grizzlies,0.507,0.556,0.833,20.0,38.0,1610612752,Knicks,0.4320000000000001,0.214,0.462,20.0,41.0,1
21682,1610612745,Rockets,0.414,0.314,0.75,25.0,49.0,1610612765,Pistons,0.426,0.346,0.813,27.0,55.0,0
21683,1610612742,Mavericks,0.4320000000000001,0.308,0.625,26.0,44.0,1610612759,Spurs,0.417,0.321,0.591,26.0,58.0,0
21684,1610612743,Nuggets,0.551,0.406,0.7190000000000001,31.0,50.0,1610612740,Pelicans,0.475,0.13,0.6920000000000001,19.0,33.0,1
21685,1610612762,Jazz,0.6,0.56,0.727,29.0,33.0,1610612750,Timberwolves,0.494,0.4379999999999999,1.0,22.0,34.0,1
21686,1610612756,Suns,0.518,0.444,0.8390000000000001,16.0,45.0,1610612760,Thunder,0.37,0.233,0.727,13.0,48.0,1
21687,1610612747,Lakers,0.442,0.1669999999999999,0.72,20.0,41.0,1610612758,Kings,0.507,0.4,0.769,27.0,40.0,1
21688,1610612755,76ers,0.363,0.212,0.773,19.0,50.0,1610612741,Bulls,0.429,0.32,0.941,27.0,57.0,0
21689,1610612753,Magic,0.467,0.36,0.846,24.0,48.0,1610612751,Nets,0.46,0.3670000000000001,0.727,21.0,39.0,1
21690,1610612754,Pacers,0.475,0.32,0.769,20.0,44.0,1610612749,Bucks,0.465,0.4579999999999999,0.857,21.0,32.0,1
21691,1610612752,Knicks,0.421,0.35,0.762,20.0,49.0,1610612764,Wizards,0.486,0.412,0.7140000000000001,17.0,39.0,0
21692,1610612737,Hawks,0.494,0.478,0.706,26.0,52.0,1610612738,Celtics,0.411,0.349,0.794,28.0,38.0,1
21693,1610612757,Trail Blazers,0.4320000000000001,0.424,0.8079999999999999,19.0,41.0,1610612750,Timberwolves,0.4370000000000001,0.222,0.9,16.0,47.0,1
21694,1610612766,Hornets,0.449,0.32,0.875,19.0,36.0,1610612748,Heat,0.476,0.525,0.917,23.0,40.0,0
21695,1610612765,Pistons,0.519,0.3329999999999999,0.611,22.0,45.0,1610612761,Raptors,0.471,0.3329999999999999,0.867,29.0,36.0,0
21696,1610612763,Grizzlies,0.474,0.346,0.81,21.0,38.0,1610612760,Thunder,0.435,0.452,0.625,19.0,44.0,0
21697,1610612745,Rockets,0.425,0.294,0.684,19.0,56.0,1610612743,Nuggets,0.3939999999999999,0.184,0.833,26.0,51.0,1
21698,1610612738,Celtics,0.407,0.212,0.621,21.0,38.0,1610612739,Cavaliers,0.467,0.306,0.944,19.0,51.0,0
21699,1610612759,Spurs,0.4379999999999999,0.371,0.667,28.0,37.0,1610612747,Lakers,0.488,0.5,0.7859999999999999,23.0,47.0,0
