,TEAM_NAME,SEASON,TEAM_ID,PTS_home,_2pointer_PCT_HOME,_3pointer_PCT_HOME,FreeThrow_PCT_HOME,Assists_HOME,Rebounds_HOME,HOME_TEAM_WINS,PTS_away,_2pointer_PCT_AWAY,_3pointer_PCT_AWAY,FreeThrow_PCT_AWAY,Assists_AWAY,Rebounds_AWAY,AWAY_TEAM_WINS
49,Cavaliers,2007,1610612739,4006.0,0.444,0.328,0.733,891.0,1875.0,27,3897.0,0.434,0.366,0.703,749.0,1780.0,18
50,Cavaliers,2008,1610612739,4196.0,0.479,0.398,0.781,895.0,1754.0,39,4027.0,0.46,0.39,0.731,768.0,1706.0,27
51,Cavaliers,2009,1610612739,4234.0,0.497,0.376,0.725,1003.0,1727.0,35,4139.0,0.474,0.389,0.726,832.0,1756.0,26
52,Cavaliers,2010,1610612739,3924.0,0.435,0.347,0.734,905.0,1705.0,12,3903.0,0.436,0.336,0.753,815.0,1600.0,7
53,Cavaliers,2012,1610612739,3983.0,0.436,0.345,0.755,919.0,1715.0,14,3930.0,0.433,0.343,0.756,775.0,1648.0,10
54,Cavaliers,2013,1610612739,4053.0,0.435,0.358,0.745,962.0,1928.0,19,4001.0,0.441,0.352,0.754,776.0,1690.0,14
55,Cavaliers,2014,1610612739,4241.0,0.469,0.386,0.741,991.0,1784.0,31,4216.0,0.449,0.342,0.75,823.0,1739.0,22
56,Cavaliers,2015,1610612739,4372.0,0.47,0.366,0.761,1016.0,1837.0,33,4183.0,0.454,0.359,0.737,845.0,1813.0,24
57,Cavaliers,2016,1610612739,4622.0,0.483,0.389,0.728,1007.0,1847.0,31,4426.0,0.459,0.375,0.759,851.0,1740.0,20
58,Cavaliers,2017,1610612739,4650.0,0.482,0.364,0.76,1015.0,1785.0,29,4521.0,0.47,0.378,0.793,922.0,1716.0,21
59,Cavaliers,2018,1610612739,4312.0,0.446,0.357,0.801,868.0,1780.0,13,4255.0,0.444,0.348,0.772,830.0,1718.0,6
60,Celtics,2003,1610612738,3936.0,0.444,0.353,0.766,848.0,1717.0,19,3875.0,0.444,0.331,0.747,835.0,1574.0,17
