,yearCombine,idPlayer,namePlayer,slugPosition,heightWOShoesInches,weightLBS,wingspanInches,reachStandingInches
153,2003,12288.0,Brian Brown,PG-SG,74.5,194.0,79.0,99.0
154,2003,12289.0,Sylvere Bryan,PF,81.0,226.0,88.5,109.5
155,2003,12290.0,Chris Burgess,C,82.0,246.0,83.5,109.0
156,2003,2406.0,Caron Butler,SF-SG,77.25,222.0,83.5,103.5
157,2003,2446.0,Rasual Butler,SF,78.75,198.0,84.0,105.5
158,2003,12291.0,Mire Chatman,PG-SG,72.0,174.0,78.0,98.0
159,2003,12042.0,Chris Christoffersen,C,84.75,291.0,87.5,109.0
160,2003,12043.0,Lenny Cooke,SG-SF,77.5,214.0,85.0,107.0
161,2003,12044.0,Craig Dawson,SG-SF,75.5,200.0,78.25,102.0
162,2003,2399.0,Mike Dunleavy,SF,80.0,230.0,81.0,106.0
163,2003,12045.0,Teddy Dupay,PG,69.5,178.0,70.75,90.5
164,2003,2451.0,Corsley Edwards,PF,79.25,285.0,82.75,106.5
165,2003,12046.0,Andy Ellis,PF,81.25,220.0,82.25,102.0
166,2003,2408.0,Melvin Ely,PF,81.0,240.0,88.0,111.0
167,2003,2501.0,Reggie Evans,PF,79.5,250.0,86.5,107.5
168,2003,12047.0,Peter Fehse,PF-C,82.0,220.0,84.5,109.0
169,2003,2400.0,Drew Gooden,PF,80.75,227.0,84.5,106.5
170,2003,12066.0,David Graves,SG,76.5,212.0,79.0,101.0
171,2003,2696.0,Lynn Greer,PG,72.25,170.0,73.0,94.5
172,2003,12067.0,Rod Grizzard,SF-SG,78.0,193.0,84.0,107.0
173,2003,101219.0,Anthony Grundy,PG-SG,72.75,167.0,79.75,99.0
174,2003,2409.0,Marcus Haislip,PF,80.5,221.0,84.0,107.0
175,2003,12068.0,Damon Hancock,SG-PG,74.75,203.0,78.0,99.5
176,2003,12069.0,Greg Harrington,PG,73.0,183.0,75.75,97.0
177,2003,2617.0,Udonis Haslem,PF,79.75,250.0,83.0,107.0
178,2003,12070.0,Cordell Henry,PG,68.0,155.0,73.0,92.0
179,2003,2450.0,Randy Holcomb,SF-PF,79.0,225.0,85.0,105.0
180,2003,2415.0,Ryan Humphrey,PF-SF,78.0,223.0,84.0,104.5
181,2003,2407.0,Jared Jeffries,PF,82.0,230.0,84.5,109.0
182,2003,12049.0,Jason Jennings,C,83.25,249.0,91.0,111.0
183,2003,2495.0,Lonnie Jones,C-PF,82.25,230.0,86.25,112.0
184,2003,2410.0,Fred Jones,SG,74.25,218.0,84.0,100.0
185,2003,2435.0,Mario Kasun,C,83.75,260.0,83.5,109.0
186,2003,12050.0,Sean Kennedy,PG,72.75,182.0,74.5,96.0
187,2003,12051.0,Kris Lang,C-PF,81.25,242.0,83.75,109.0
188,2003,12052.0,Muhammed Lasege,C-PF,80.75,228.0,86.0,108.5
189,2003,12053.0,Steve Logan,PG,70.0,207.0,71.75,92.5
190,2003,2677.0,Kevin Lyde,C-PF,80.75,278.0,86.0,109.5
191,2003,2432.0,Tito Maddox,PG,75.0,200.0,77.0,99.0
192,2003,12054.0,Kei Madison,SF,79.75,216.0,84.5,107.0
193,2003,-1.0,Chris Massie,PF,78.25,248.0,84.0,107.0
194,2003,12055.0,Immanuel McElroy,SG,74.25,191.0,78.5,100.0
195,2003,12056.0,Aaron McGhee,PF-SF,79.0,255.0,82.0,105.5
196,2003,12057.0,Elvin Mims,SF-SG,76.25,211.0,85.5,105.5
197,2003,12058.0,Byron Mouton,SG-SF,76.5,213.0,82.25,102.0
198,2003,2436.0,Ronald Murray,SG,75.0,197.0,79.5,100.5
199,2003,12059.0,Uche Okafor,PF-C,81.0,229.0,89.5,112.0
200,2003,2442.0,Chris Owens,PF-SF,79.0,237.0,83.5,104.0
201,2003,2457.0,Jannero Pargo,PG,72.25,168.0,74.5,96.0
202,2003,2470.0,Smush Parker,PG-SG,74.5,179.0,82.0,107.5
203,2003,2458.0,Luke Recker,SG-SF,76.75,198.0,79.0,101.0
204,2003,12061.0,Rolan Roberts,PF,77.75,241.0,85.0,105.5
205,2003,12062.0,Travis Robinson,SF,77.25,211.0,82.5,104.5
206,2003,2416.0,Kareem Rush,SG-SF,76.75,199.0,81.75,103.5
207,2003,12063.0,Brooks Sales,PF-C,81.0,232.0,82.0,108.0
208,2003,2422.0,John Salmons,SF-SG,77.5,207.0,82.25,104.0
209,2003,2453.0,Predrag Savovic,SG,76.75,212.0,79.0,102.0
210,2003,201324.0,Julian Sensley,PF-SF,79.0,228.0,83.5,105.5
211,2003,12064.0,Israel Sheinfeld,PF-C,80.25,239.0,81.75,106.5
212,2003,12065.0,Preston Shumpert,SF,78.0,197.0,80.5,103.5
213,2003,2447.0,Tamar Slay,SF,78.75,203.0,83.5,104.0
214,2003,2443.0,Darius Songaila,PF,80.0,240.0,85.0,108.5
215,2003,2405.0,Amar'e Stoudemire,PF,80.5,233.0,85.75,108.5
216,2003,2445.0,Marcus Taylor,PG,73.0,181.0,76.5,98.5
217,2003,12297.0,Jobey Thomas,SG,74.75,183.0,77.75,99.5
218,2003,2402.0,Dajuan Wagner,PG-SG,72.75,193.0,74.0,99.0
219,2003,2404.0,Chris Wilcox,PF-C,80.25,218.0,85.0,107.5
220,2003,2421.0,Frank Williams,PG,73.5,212.0,80.0,100.5
221,2003,2398.0,Jay Williams,PG,72.25,197.0,75.5,97.0
222,2003,2465.0,George Williams,PF-SF,77.75,214.0,84.5,103.0
223,2003,2417.0,Qyntel Woods,SF-SG,79.0,213.0,82.0,105.0
224,2003,2428.0,Vincent Yarbrough,SF,77.5,202.0,84.5,104.5
225,2004,200995.0,Aloysius Anagonye,PF,78.75,257.0,86.5,106.0
226,2004,12072.0,Rick Anderson,SF-PF,80.25,216.0,83.0,106.5
227,2004,2546.0,Carmelo Anthony,SF,78.25,233.0,84.0,105.5
228,2004,2602.0,Jerome Beasley,SF-PF,81.0,237.0,84.5,107.0
229,2004,2559.0,Troy Bell,PG,72.25,178.0,77.0,97.5
230,2004,12073.0,LaVell Blanchard,SF,78.0,205.0,78.0,101.5
231,2004,2586.0,Keith Bogans,SG,76.25,213.0,81.25,101.0
232,2004,2588.0,Matt Bonner,PF-SF,80.5,242.0,80.75,105.5
233,2004,2547.0,Chris Bosh,PF,82.25,225.0,87.5,109.0
234,2004,2651.0,Jermaine Boyette,PG-SG,73.0,187.0,76.0,96.0
235,2004,12295.0,Souleymane Camara,PF-SF,81.75,211.0,86.25,109.0
236,2004,2679.0,Matt Carroll,SG-SF,77.0,207.0,78.5,98.5
237,2004,2555.0,Nick Collison,PF,80.75,255.0,85.5,108.0
238,2004,2567.0,Brian Cook,PF-SF,81.5,234.0,86.0,109.0
239,2004,12074.0,Joel Cornette,PF-SF,80.25,239.0,81.25,105.5
240,2004,2605.0,Marquis Daniels,SG-PG,77.25,198.0,82.0,103.5
241,2004,12075.0,Aleksander Djuric,C-PF,82.0,253.0,84.0,108.0
242,2004,12076.0,Ruben Douglas,SG,75.5,193.0,79.25,100.5
243,2004,2648.0,Ronald Dupree,SF-SG,78.0,209.0,80.25,101.0
244,2004,2606.0,Carl English,SG-PG,76.0,201.0,77.25,98.5
245,2004,12077.0,Ebi Ere,SG,75.5,210.0,82.5,102.0
246,2004,12078.0,Marquis Estill,PF-C,80.5,257.0,88.0,108.0
247,2004,2551.0,T.J. Ford,PG,71.0,162.0,71.5,93.5
248,2004,12079.0,Jason Gardner,PG,69.75,194.0,73.0,92.0
249,2004,2584.0,Willie Green,SG-PG,74.5,201.0,79.25,100.0
250,2004,12080.0,Justin Hamilton,PG-SG,75.0,217.0,83.0,103.0
251,2004,2580.0,Travis Hansen,SG,76.5,200.0,78.5,100.5
252,2004,12081.0,Trevor Harvey,C-PF,81.5,245.0,85.0,109.5
253,2004,2618.0,Marcus Hatten,PG,72.75,163.0,78.25,98.0
254,2004,2550.0,Kirk Hinrich,PG-SG,74.75,186.0,78.0,98.5
255,2004,12082.0,Jerry Holman,PF,80.75,232.0,87.25,109.5
256,2004,12083.0,Sam Hoskin,PF,79.25,261.0,82.75,107.5
257,2004,2572.0,Josh Howard,SF-SG,77.25,202.0,86.0,105.5
258,2004,2599.0,Brandon Hunter,PF,78.5,266.0,86.75,105.5
259,2004,12084.0,Sani Ibrahim,C-PF,80.5,229.0,85.0,109.5
260,2004,12085.0,Michael Ignerski,PF-SF,81.5,232.0,82.75,107.0
261,2004,12086.0,Robert Jackson,PF-C,79.75,254.0,84.0,107.5
262,2004,2544.0,LeBron James,SF-SG,79.25,245.0,84.25,106.25
263,2004,2639.0,Britton Johnsen,SF-PF,82.0,212.0,82.75,107.5
264,2004,2563.0,Dahntay Jones,SG-SF,76.75,214.0,81.0,102.5
